TIPO,VETA_POLIG,Toneladas,Ag (g/t),Au (g/t),Pot .(m),LEY AG-EQ,ONZAS,VPT AG,VPT AU,VLP,COSTO TOTAL,INGRESO,COSTO,MARGEN ANTES AVANCE,PU METRAJE,METROS POSIBLES,FR,DIL,Ton Dil,Ag Dil,Au Dil,VLP Dil,Pot Dil,Ag-eq Dil,Oz ag-eq dil,Ingreso Dil,Costo Dil,Margen Dil sin avance,Metros posibles Final,t dil * ag dil,t dil * au dil,t dil * pot dil,t dil * vlp dil,t dil * ag-eq dil,t dil * dil,t dil * fact recup,P-COD EVAL,P-COND-AG27-AU1800,PLAN,PRIORIDAD,PLAN_F
M+I,LuisaPNM1840 B,321,595.33,4.27,1.04,962.89,9946,0.70807212,47.5981361,624.9665876,123.8,200783.0777,39773.23831,161009.8394,2200,73,0.4,0.968,252.9078688,302.4985349,2.171691407,317.5592419,2.046635764,489.2639959,3978.289083,80313.23109,31309.99416,49003.23693,22.27419861,76504.25978,549.2378454,263.0091502,80313.23109,123738.7145,244.8227807,101.1631475,-,-,PLAN 3,147,-
M+I,LuisaPNM1840 C,292,381.41,2.98,0.88,637.92,5982,0.70807212,47.5981361,412.0343153,123.8,120186.4687,36111.27588,84075.19285,2200,38,0.4,1.590,302.1731333,147.2722192,1.151658864,159.0961677,2.27959691,246.3148814,2392.969907,48074.58749,37409.0339,10665.55359,4.847978903,44501.70791,348.0003673,265.9746459,48074.58749,74429.7395,480.4082568,120.8692533,-,-,PLAN 3,266,-
M+I,LuisaPNM1878 A,954,377.74,1.22,2.13,482.31,14801,0.70807212,47.5981361,325.3447879,123.8,310536.949,118165.3302,192371.6188,2200,87,0.4,0.522,581.0639605,248.198328,0.798958844,213.7712679,3.235490313,316.9087886,5920.371527,124214.7796,71935.71831,52279.06128,23.76320967,144219.1034,464.2461903,1235.2917,124214.7796,184144.2758,303.2743924,232.4255842,-,-,PLAN 3,136,-
M+I,LuisaPNM1878 B,"6,269",478.98,2.50,2.11,694.27,139935,0.70807212,47.5981361,458.3100767,123.8,2873187.585,776113.468,2097074.117,2200,953,0.4,0.619,4060.178008,295.8263802,1.546149742,283.0602579,3.421501955,428.795258,55973.92822,1149275.034,502650.0374,646624.9966,293.920453,1201107.763,6277.643179,8579.882868,1149275.034,1740985.076,2513.759669,1624.071203,-,-,PLAN 3,4,-
M+I,LuisaPNM1878 C,871,450.29,2.29,1.15,647.60,18141,0.70807212,47.5981361,428.0435002,123.8,372942.7075,107863.5867,265079.1208,2200,120,0.4,1.167,755.056977,207.8407413,1.058957354,197.5706305,2.487169306,298.9110737,7256.253853,149177.083,93476.05375,55701.02923,25.31864965,156931.6018,799.5731383,866.8012989,149177.083,225694.8917,880.7996812,302.0227908,-,-,PLAN 3,130,-
M+I,LuisaPNM1879 A,"1,263",147.11,0.62,0.96,200.68,8151,0.70807212,47.5981361,133.810589,123.8,169044.8456,156398.3242,12646.52142,2200,6,0.4,1.163,1093.131314,68.00287913,0.287955857,61.85710483,2.082910746,92.76708283,3260.295565,67617.93825,135329.6566,-67711.71836,-30.7780538,74336.07658,314.7735643,1052.548466,67617.93825,101406.6031,1271.553315,437.2525254,-,-,PLAN 3,438,-
M+I,LuisaPNM1879 C,254,794.35,3.38,1.07,"1,085.22",8850,0.70807212,47.5981361,723.4412869,123.8,183507.4172,31402.98827,152104.4289,2200,69,0.4,0.922,195.0154571,413.2861125,1.759717261,376.3956354,2.059480925,564.621797,3540.115351,73402.96688,24142.91359,49260.05329,22.39093331,80597.18015,343.172066,208.9623759,73402.96688,110109.9778,179.8088501,78.00618284,-,-,PLAN 3,144,-
M+I,LuisaPNM1879 D,"5,363",262.06,1.56,1.09,396.45,68362,0.70807212,47.5981361,259.9406812,123.8,1394142.251,663977.6809,730164.5702,2200,332,0.4,0.960,4204.781632,133.7067476,0.797309404,132.6244617,2.136081866,202.2753563,27344.95163,557656.9004,520551.966,37104.93442,16.86587928,562207.6763,3352.511938,4582.587023,557656.9004,850523.7029,4036.486893,1681.912653,-,-,PLAN 3,175,-
M+I,LuisaPNM1879 E,499,177.45,4.00,1.23,521.82,8366,0.70807212,47.5981361,316.2456281,123.8,157699.6962,61734.36297,95965.33325,2200,44,0.4,0.972,393.4002316,89.97110155,2.030316315,160.3453009,2.418531093,264.5783046,3346.413308,63079.87849,48702.94867,14376.92982,6.534968099,35394.65218,798.7269085,482.4118783,63079.87849,104085.1663,382.4946819,157.3600926,-,-,PLAN 3,243,-
M+I,LuisaPNM1879 F,"1,248",103.41,0.93,1.01,183.73,7372,0.70807212,47.5981361,117.6786095,123.8,146855.9149,154495.0466,-7639.131739,2200,-3,0.4,1.003,999.6258605,51.64071971,0.46638377,58.76435202,2.015777887,91.74972394,2948.716278,58742.36596,123753.6815,-65011.31557,-29.55059799,51621.39887,466.2092775,1006.228429,58742.36596,91715.39674,1002.175865,399.8503442,-,-,PLAN 3,437,-
